ACS;ForcheNonSu;41;Per eseguire l'operazione richiesta e' necessario che le forche siano al punto morto superiore. Eseguire un ripristino sistema o muovere manualmente le forche fino al PMS. Effettuare un ripristino sistema
ACS;ForcheNonChiuse;42;Per eseguire l'operazione richiesta e' necessario che le forche siano chiuse. Eseguire un ripristino sistema o muovere manualmente le forche fino a chiuderle. Effettuare un ripristino sistema
ACS;FotScaricoIncrociataNonLibera;43;Le fotocellule di scarico lamiera poste sotto le forche sono oscurate. Verificare l'allineamento e l'eventuale presenza di ostacoli. Effettuare un ripristino sistema e rieseguire il ciclo
ACS;CassettoDiScaricoNonPresente;44;Per eseguire l'operazione richiesta e' sia presente il cassetto di scarico. Verificare la lettura della fotocellula di cassetto presente. Effettuare un ripristino sistema
ACS;ForcheNonGiuLaser;45;Per eseguire l'operazione richiesta e' necessario che le forche siano all'altezza della tavola del laser. Eseguire un ripristino sistema o muovere manualmente le forche. Effettuare un ripristino sistema e rieseguire il ciclo.
ACS;ForcheNonAperte;46;Per eseguire l'operazione richiesta e' necessario che le forche siano aperte. Eseguire un ripristino sistema o muovere manualmente le forche fino ad aprirle. Effettuare un ripristino sistema
ACS;err.47;47;
ACS;err.48;48;
ACS;err.49;49;
ACS;ForcheNoAperteNoChiuse;50;Per eseguire l'operazione richiesta e' necessario che le forche siano aperte o chiuse. Eseguire un ripristino sistema o muovere manualmente le forche fino ad aprirle o a chiuderle. Effettuare un ripristino sistema
ACS-ASPS;MicroForcheDietro;51;Incongruenza pos.att forche aperte e micro forche dietro
Inutili;err.52;52;
Inutili;err.53;53;
Inutili;err.54;54;
Inutili;err.55;55;
Inutili;err.56;56;
Inutili;err.57;57;
ASPS;ASPS NonInFuoriIngombro;58;
ASPS;ASPS SfridoAttaccatoAllaMano;59;ASPS sfrido attaccato alla mano
ASPS;ASPS NonInFuoriIngomLatoLaser;60;ASPS non in fuoringom.lato laser, prg 36/26
ASPS;ASPS NonInFuoriIngomLatoCarro;61;ASPS NON in fuoringom.lato carro, prg 37/38/39
ASPS;ASPS InLavoroSuTorretta1;62;ASPS in lavoro su torretta 1, prg s/carico cassetto torretta 1 
ASPS;ASPS InLavoroSuTorretta2;63;ASPS in lavoro su torretta 2, prg s/carico cassetto torretta 2
Inutili;FileTxtInesistente;64;file TXT inesistente, prg 7
Inutili;FileCsvInesistente;65;file CSV inesistente, prg 7
Inutili;err.66;66;
Inutili;err.67;67;
Inutili;err.68;68;
Inutili;err.69;69;
Inutili;err.70;70;
Inutili;err.71;71;
Inutili;err.72;72;
Inutili;err.73;73;
Inutili;err.74;74;
;err.75;75;
NavASPS;EntrambiCassAspsInCaricament;76;entrambi cass.asps in caricament
NavASPS;RilevamCassettoSuNav e torre;77;rilevam.cassetto su Nav e torre
Inutili;Incoerenza DB;78;incoerenza DB: associaz.cass-loc
;err.79;79;
;err.80;80;
;err.81;81;
;err.82;82;
;err.83;83;
;err.84;84;
;err.85;85;
;err.86;86;
;err.87;87;
;err.88;88;
Inutili;err.89;89;
;err.90;90;
;err.91;91;
ASPS;ASPS non resettato;92;Gli assi dell'ASPS non risultano resettati
;CollisFotocelMaxAltezza;36;
Lst;LaserInLavoro;129;
Lst;LaserZnonAlta;108;
Lst;AcsAspsNoFuoriIngombro;126;
;MissioneInCorso;128;
Lst;X o Z non in posizione di origine;121;
Lst;Chiave controllo linea;123;
;ErroreJobList;125;
Lst;BarriereInterrotte;130;
